document_id,item,description,quantity,unit_price,line_total
ABCCONST-1-20250827,Asphalt Mix,Hot-mix asphalt for road paving,40.0,95.0,3800.0
ABCCONST-1-20250827,Crushed Stone (Base),Aggregate base for highway foundation,120.0,30.0,3600.0
ABCCONST-1-20250827,Ready-Mix Concrete,Standard grade for pavements & runways,25.0,110.0,2750.0
ABCCONST-1-20250827,Rebar Steel (12mm),Reinforcing steel bars for concrete,400.0,15.0,6000.0
ABCCONST-1-20250827,Portland Cement (Bag),50kg bags for concrete mix,500.0,8.0,4000.0
ABCCONST-1-20250827,Gravel (Construction),General use in foundations and drainage,150.0,22.0,3300.0
ABCCONST-1-20250827,Bitumen Binder (Drum),Bitumen 60/70 for asphalt mix,10.0,520.0,5200.0
ABCCONST-1-20250827,Geotextile Fabric Roll,Non-woven geotextile for soil stabilization,15.0,180.0,2700.0
ABCCONST-2-20250827,Asphalt Mix,Hot-mix asphalt for road paving,20.0,95.0,1900.0
ABCCONST-2-20250827,Crushed Stone (Base),Aggregate base for highway foundation,50.0,30.0,1500.0
ABCCONST-2-20250827,Rebar Steel (12mm),Reinforcing steel bars for concrete,80.0,15.0,1200.0
ACMECONS-3-20250827,Ready-Mix Concrete,Standard grade for pavements & runways,10.0,110.0,1100.0
ACMECONS-3-20250827,Portland Cement (Bag),50kg bags for concrete mix,200.0,8.0,1600.0
ACMECONS-3-20250827,Fine Sand,Washed sand for construction,40.0,20.0,800.0
ACMECONS-3-20250827,Gravel (Construction),General use in foundations and drainage,30.0,22.0,660.0
ABCCONST-4-20250827,Bitumen Binder (Drum),Bitumen 60/70 for asphalt mix,5.0,520.0,2600.0
ABCCONST-4-20250827,Geotextile Fabric Roll,Non-woven geotextile for soil stabilization,12.0,180.0,2160.0
ABCCONST-4-20250827,Ready-Mix Concrete,Standard grade for pavements & runways,15.0,110.0,2250.0
ANOTHERC-5-20250827,Asphalt Primer,Primer coat for asphalt works,25.0,60.0,1500.0
ANOTHERC-5-20250827,Steel Mesh,Reinforcement mesh sheets,40.0,45.0,1800.0
ANOTHERC-5-20250827,Portland Cement (Bag),50kg bags for concrete mix,100.0,9.0,900.0
ANOTHERC-5-20250827,Gravel (Fine),Small aggregate for mortar,60.0,18.0,1080.0
ANOTHERC-5-20250827,Sand (Construction),Coarse washed sand,80.0,15.0,1200.0
